ORG_KSSS|year|month|day|time_segment|unique_cheques
1067|2025|11|10|08_20|253.0
1067|2025|11|10|other|41.0
1067|2025|11|11|08_20|248.0
1067|2025|11|11|other|52.0
1067|2025|11|12|08_20|276.0
1067|2025|11|12|other|51.0
1067|2025|11|13|08_20|300.0
1067|2025|11|13|other|57.0
1067|2025|11|14|08_20|247.0
1067|2025|11|14|other|60.0
1067|2025|11|15|08_20|212.0
1067|2025|11|15|other|35.0
1067|2025|11|16|08_20|175.0
1067|2025|11|16|other|36.0
1067|2025|11|17|08_20|202.0
1067|2025|11|17|other|61.0
1067|2025|11|18|08_20|221.0
1067|2025|11|18|other|49.0
1067|2025|11|19|08_20|186.0
1067|2025|11|19|other|49.0
1067|2025|11|20|08_20|218.0
1067|2025|11|20|other|48.0
1067|2025|11|21|08_20|251.0
1067|2025|11|21|other|50.0
1067|2025|11|22|08_20|196.0
1067|2025|11|22|other|42.0
1067|2025|11|23|08_20|143.0
1067|2025|11|23|other|28.0
1067|2025|11|24|08_20|218.0
1067|2025|11|24|other|57.0
1067|2025|11|25|08_20|259.0
1067|2025|11|25|other|51.0
1067|2025|11|26|08_20|247.0
1067|2025|11|26|other|52.0
1067|2025|11|27|08_20|202.0
1067|2025|11|27|other|55.0
1067|2025|11|28|08_20|265.0
1067|2025|11|28|other|43.0
1067|2025|11|29|08_20|195.0
1067|2025|11|29|other|36.0
1067|2025|11|30|08_20|167.0
1067|2025|11|30|other|31.0
1068|2025|11|1|08_20|547.0
1068|2025|11|1|other|142.0
1068|2025|11|2|08_20|545.0
1068|2025|11|2|other|91.0
1068|2025|11|3|08_20|486.0
1068|2025|11|3|other|121.0
1068|2025|11|4|08_20|537.0
1068|2025|11|4|other|107.0
1068|2025|11|5|08_20|498.0
1068|2025|11|5|other|119.0
1068|2025|11|6|08_20|559.0
1068|2025|11|6|other|115.0
1068|2025|11|7|08_20|526.0
1068|2025|11|7|other|145.0
1068|2025|11|8|08_20|461.0
1068|2025|11|8|other|84.0
1068|2025|11|9|08_20|410.0
1068|2025|11|9|other|84.0
1068|2025|11|10|08_20|495.0
1068|2025|11|10|other|139.0
1068|2025|11|11|08_20|497.0
1068|2025|11|11|other|137.0
1068|2025|11|12|08_20|496.0
1068|2025|11|12|other|96.0
1068|2025|11|13|08_20|530.0
1068|2025|11|13|other|144.0
1068|2025|11|14|08_20|579.0
1068|2025|11|14|other|135.0
1068|2025|11|15|08_20|488.0
1068|2025|11|15|other|112.0
1068|2025|11|16|08_20|425.0
1068|2025|11|16|other|84.0
1068|2025|11|17|08_20|517.0
1068|2025|11|17|other|134.0
1068|2025|11|18|08_20|533.0
1068|2025|11|18|other|137.0
1068|2025|11|19|08_20|495.0
1068|2025|11|19|other|138.0
1068|2025|11|20|08_20|595.0
1068|2025|11|20|other|133.0
1068|2025|11|21|08_20|575.0
1068|2025|11|21|other|154.0
1068|2025|11|22|08_20|428.0
1068|2025|11|22|other|119.0
1068|2025|11|23|08_20|422.0
1068|2025|11|23|other|85.0
1068|2025|11|24|08_20|486.0
1068|2025|11|24|other|120.0
1068|2025|11|25|08_20|517.0
1068|2025|11|25|other|140.0
1068|2025|11|26|08_20|513.0
1068|2025|11|26|other|145.0
1068|2025|11|27|08_20|461.0
1068|2025|11|27|other|116.0
1068|2025|11|28|08_20|518.0
1068|2025|11|28|other|148.0
1068|2025|11|29|08_20|453.0
1068|2025|11|29|other|99.0
1068|2025|11|30|08_20|453.0
1068|2025|11|30|other|82.0
1069|2025|11|1|08_20|446.0
1069|2025|11|1|other|120.0
1069|2025|11|2|08_20|366.0
1069|2025|11|2|other|105.0
1069|2025|11|3|08_20|409.0
1069|2025|11|3|other|104.0
1069|2025|11|4|08_20|430.0
1069|2025|11|4|other|84.0
1069|2025|11|5|08_20|406.0
1069|2025|11|5|other|114.0
1069|2025|11|6|08_20|359.0
1069|2025|11|6|other|79.0
1069|2025|11|7|08_20|378.0
1069|2025|11|7|other|87.0
1069|2025|11|8|08_20|329.0
1069|2025|11|8|other|76.0
1069|2025|11|9|08_20|345.0
1069|2025|11|9|other|73.0
1069|2025|11|10|08_20|380.0
1069|2025|11|10|other|106.0
1069|2025|11|11|08_20|374.0
