КССС|MAPE, %
155084|9.629
155085|16.936
155086|23.477
155087|44.371
155088|10.469
155089|246.258
155090|14.994
155091|25.274
155093|14.994
155094|11.123
155095|10.694
155096|13.815
155097|16.835
155099|10.08
155100|12.084
155101|25.879
155102|21.789
155103|20.039
155104|668.93
155105|7.994
155107|19.252
155108|12.371
155109|24.556
155110|10.168
155111|10.562
155112|11.292
155119|16.66
155120|36.168
155121|31.897
155122|35.143
155123|11.729
155126|28.065
155127|52.493
155128|15.046
155129|9.889
155130|268.884
155133|16.144
155135|10.849
155136|413.03
155137|10.236
156401|11.051
157601|8.485
158201|23.94
158401|21.831
158601|12.091
159004|9.576
159201|6.618
159202|14.347
159203|15.133
160005|17.917
160006|26.341
160007|20.8
160008|16.142
160010|26.959
160012|32.311
160014|932.336
160019|48.79
160020|16.351
160022|13.298
160023|15.187
160025|44.305
160027|10.485
160028|29.627
160031|10.068
160033|1031.924
160034|18.685
160035|20.012
160037|14.12
160040|30.252
160041|238.663
160042|38.645
160043|36.886
160045|15.754
160046|23.915
160048|21.19
160049|44.092
160050|69.53
160051|20.245
160052|69.4
160056|61.46
160058|12.618
160059|10166.235
160061|18.422
160062|15.657
160064|22.471
160065|20.853
160067|551.89
160068|14.59
160069|27.354
160070|34.33
160071|18.893
160074|16.253
160413|11.118
160414|20.086
161201|13.806
161203|15.037
161801|13.995
161802|36.031
162602|8.635
162622|17.583
163223|11.135
163224|14.891
163403|23.286
163404|8.977
163405|36.978
163406|37.358
163407|16.006
163408|39.799
163409|27.728
163410|66.7
163623|12.226
163624|14.329
163625|12.899
163805|31.794
163806|27.338
165003|27.46
165004|29.505
165212|192.059
165610|62.235
166002|19.323
166003|60.061
167601|29.74
168201|39.026
168202|81.392
169013|56.189
169014|59.08
170003|26.297
170004|17.956
171802|26.296
