АЗС,Лучшая модель,MAPE
133743,HoltWinters,4.05
2886,SARIMAX,4.053
134159,HoltWinters,4.06
3315,RandomForest,4.061
7279,RandomForest,4.095
136911,HoltWinters,4.101
133608,HoltWinters,4.102
5035,SARIMAX,4.106
133727,RandomForest,4.139
7131,RandomForest,4.149
133617,SARIMAX,4.163
3212,HoltWinters,4.168
133657,RandomForest,4.169
1909,HoltWinters,4.171
3730,RandomForest,4.175
160041,SARIMAX,4.176
133706,RandomForest,4.178
133332,SARIMAX,4.187
133592,RandomForest,4.19
91802,SARIMAX,4.203
1752,HoltWinters,4.212
2896,HoltWinters,4.215
160065,HoltWinters,4.216
1876,RandomForest,4.217
3126,SARIMAX,4.219
49212,RandomForest,4.236
125655,RandomForest,4.237
3342,SARIMAX,4.245
125657,HoltWinters,4.253
3401,HoltWinters,4.257
155111,SARIMAX,4.271
2887,HoltWinters,4.277
5034,HoltWinters,4.293
104802,HoltWinters,4.294
134058,SARIMAX,4.296
1921,SARIMAX,4.3
1278,SARIMAX,4.311
134120,RandomForest,4.322
3424,HoltWinters,4.331
9511,SARIMAX,4.344
133664,SARIMAX,4.347
3984,RandomForest,4.361
9755,HoltWinters,4.366
134183,SARIMAX,4.368
134173,RandomForest,4.379
5061,SARIMAX,4.382
3176,SARIMAX,4.383
6406,HoltWinters,4.383
5097,HoltWinters,4.383
3179,SARIMAX,4.384
133697,HoltWinters,4.395
1947,HoltWinters,4.396
61001,SARIMAX,4.401
136809,HoltWinters,4.404
3336,SARIMAX,4.412
8912,RandomForest,4.416
152001,SARIMAX,4.422
133650,RandomForest,4.428
3651,SARIMAX,4.437
5093,SARIMAX,4.442
5036,SARIMAX,4.459
133723,SARIMAX,4.463
1104,RandomForest,4.464
136906,HoltWinters,4.478
7609,RandomForest,4.479
129003,SARIMAX,4.493
136808,SARIMAX,4.494
5015,HoltWinters,4.51
133583,RandomForest,4.518
1905,RandomForest,4.526
9085,RandomForest,4.536
160031,RandomForest,4.536
133696,RandomForest,4.542
5026,SARIMAX,4.553
3331,RandomForest,4.554
7323,HoltWinters,4.554
69401,HoltWinters,4.559
134047,RandomForest,4.56
3330,SARIMAX,4.56
6423,RandomForest,4.571
125615,HoltWinters,4.573
3221,SARIMAX,4.577
3373,SARIMAX,4.579
136877,SARIMAX,4.589
136801,SARIMAX,4.601
133334,RandomForest,4.604
1892,HoltWinters,4.607
133693,SARIMAX,4.607
9325,HoltWinters,4.611
2193,SARIMAX,4.62
133718,RandomForest,4.623
3377,SARIMAX,4.624
8774,HoltWinters,4.639
2588,RandomForest,4.643
157601,RandomForest,4.645
3363,SARIMAX,4.646
133361,RandomForest,4.655
125605,RandomForest,4.656
5047,SARIMAX,4.659
124002,RandomForest,4.664
129004,RandomForest,4.667
9337,RandomForest,4.671
133784,SARIMAX,4.672
133764,HoltWinters,4.682
