АЗС,Лучшая модель,MAPE,error
6431,RandomForest,6.057,
133441,RandomForest,6.093,
155112,RandomForest,6.093,
155111,RandomForest,6.099,
155047,RandomForest,6.129,
3256,RandomForest,6.132,
135069,RandomForest,6.164,
133650,RandomForest,6.166,
133655,RandomForest,6.169,
2092,RandomForest,6.181,
133354,RandomForest,6.182,
9404,RandomForest,6.192,
3350,RandomForest,6.193,
133664,RandomForest,6.199,
3446,RandomForest,6.204,
4080,RandomForest,6.218,
134167,RandomForest,6.218,
4078,RandomForest,6.22,
2252,RandomForest,6.241,
1101,RandomForest,6.255,
104005,RandomForest,6.266,
3329,RandomForest,6.281,
2726,RandomForest,6.282,
155001,RandomForest,6.288,
1955,RandomForest,6.294,
1949,RandomForest,6.303,
5042,RandomForest,6.303,
133797,RandomForest,6.305,
1772,RandomForest,6.308,
1798,RandomForest,6.308,
3062,RandomForest,6.312,
133693,RandomForest,6.312,
39402,RandomForest,6.319,
133499,RandomForest,6.328,
3206,RandomForest,6.333,
133473,RandomForest,6.335,
155056,RandomForest,6.335,
134147,RandomForest,6.349,
134192,RandomForest,6.359,
95805,RandomForest,6.36,
135072,RandomForest,6.361,
1260,RandomForest,6.371,
3731,RandomForest,6.397,
133309,RandomForest,6.41,
133300,RandomForest,6.424,
5018,RandomForest,6.454,
136809,RandomForest,6.467,
160031,RandomForest,6.468,
4214,RandomForest,6.491,
160413,RandomForest,6.515,
3595,RandomForest,6.52,
133525,RandomForest,6.531,
2711,RandomForest,6.561,
134031,RandomForest,6.561,
134132,RandomForest,6.563,
133456,RandomForest,6.582,
133443,RandomForest,6.59,
133565,RandomForest,6.624,
133544,RandomForest,6.626,
3336,RandomForest,6.645,
3312,RandomForest,6.647,
5053,RandomForest,6.661,
3175,RandomForest,6.662,
155075,RandomForest,6.666,
2999,RandomForest,6.673,
2896,RandomForest,6.689,
133509,RandomForest,6.699,
3176,RandomForest,6.711,
155007,RandomForest,6.714,
156401,RandomForest,6.727,
133252,RandomForest,6.729,
1913,RandomForest,6.744,
3213,RandomForest,6.752,
163205,RandomForest,6.755,
133673,RandomForest,6.756,
133564,RandomForest,6.759,
155023,RandomForest,6.76,
6986,RandomForest,6.766,
8934,RandomForest,6.789,
133605,RandomForest,6.789,
9316,RandomForest,6.79,
163803,RandomForest,6.795,
2879,RandomForest,6.806,
1102,RandomForest,6.816,
3126,RandomForest,6.816,
133601,RandomForest,6.816,
134029,RandomForest,6.816,
125652,RandomForest,6.82,
133708,RandomForest,6.842,
1947,RandomForest,6.849,
3543,RandomForest,6.849,
3767,RandomForest,6.873,
133530,RandomForest,6.873,
133266,RandomForest,6.878,
5008,RandomForest,6.884,
141801,RandomForest,6.903,
3174,RandomForest,6.912,
134027,RandomForest,6.916,
133245,RandomForest,6.921,
8727,RandomForest,6.971,
155015,RandomForest,6.998,
1901,RandomForest,7.028,
92401,RandomForest,7.031,
133239,RandomForest,7.043,
1066,RandomForest,7.058,
63801,RandomForest,7.068,
134120,RandomForest,7.071,
2609,RandomForest,7.072,
2908,RandomForest,7.074,
133474,RandomForest,7.082,
3165,RandomForest,7.083,
3737,RandomForest,7.099,
62404,RandomForest,7.102,
3004,RandomForest,7.125,
99602,RandomForest,7.142,
8079,RandomForest,7.154,
133235,RandomForest,7.16,
163409,RandomForest,7.164,
134004,RandomForest,7.175,
3443,RandomForest,7.178,
1767,RandomForest,7.179,
3221,RandomForest,7.184,
3540,RandomForest,7.197,
3215,RandomForest,7.199,
1774,RandomForest,7.208,
155103,RandomForest,7.21,
133545,RandomForest,7.212,
3765,RandomForest,7.222,
125607,RandomForest,7.232,
133809,RandomForest,7.24,
125618,RandomForest,7.272,
3059,RandomForest,7.274,
3396,RandomForest,7.282,
39208,RandomForest,7.298,
5026,RandomForest,7.306,
163623,RandomForest,7.312,
133492,RandomForest,7.322,
3394,RandomForest,7.331,
5069,RandomForest,7.331,
7426,RandomForest,7.332,
133710,RandomForest,7.336,
3445,RandomForest,7.343,
160032,RandomForest,7.364,
61001,RandomForest,7.381,
136812,RandomForest,7.389,
3330,RandomForest,7.391,
64402,RandomForest,7.402,
3377,RandomForest,7.404,
133386,RandomForest,7.43,
2894,RandomForest,7.436,
2910,RandomForest,7.463,
1808,RandomForest,7.47,
2747,RandomForest,7.478,
134022,RandomForest,7.479,
5104,RandomForest,7.488,
3352,RandomForest,7.495,
3393,RandomForest,7.512,
136880,RandomForest,7.525,
3836,RandomForest,7.536,
134127,RandomForest,7.538,
3138,RandomForest,7.543,
155002,RandomForest,7.548,
155105,RandomForest,7.552,
134009,RandomForest,7.554,
47401,RandomForest,7.555,
1895,RandomForest,7.57,
2271,RandomForest,7.581,
155014,RandomForest,7.581,
1864,RandomForest,7.611,
133301,RandomForest,7.611,
133723,RandomForest,7.614,
133407,RandomForest,7.616,
133465,RandomForest,7.618,
3763,RandomForest,7.627,
8903,RandomForest,7.642,
3332,RandomForest,7.643,
133597,RandomForest,7.644,
3459,RandomForest,7.661,
5094,RandomForest,7.666,
133551,RandomForest,7.666,
135017,RandomForest,7.691,
1801,RandomForest,7.706,
2827,RandomForest,7.712,
115007,RandomForest,7.721,
155016,RandomForest,7.722,
133344,RandomForest,7.732,
3129,RandomForest,7.75,
154401,RandomForest,7.755,
155010,RandomForest,7.757,
133805,RandomForest,7.758,
133268,RandomForest,7.768,
3220,RandomForest,7.786,
1081,RandomForest,7.789,
8174,RandomForest,7.79,
3654,RandomForest,7.792,
133535,RandomForest,7.792,
134143,RandomForest,7.795,
133690,RandomForest,7.804,
9085,RandomForest,7.814,
133270,RandomForest,7.828,
2888,RandomForest,7.83,
133556,RandomForest,7.83,
3380,RandomForest,7.834,
7080,RandomForest,7.849,
125662,RandomForest,7.857,
1092,RandomForest,7.877,
1268,RandomForest,7.884,
1883,RandomForest,7.891,
171804,RandomForest,7.892,
5066,RandomForest,7.909,
1889,RandomForest,7.911,
3168,RandomForest,7.918,
36004,RandomForest,7.925,
3981,RandomForest,7.937,
136801,RandomForest,7.937,
125612,RandomForest,7.947,
3212,RandomForest,7.949,
5016,RandomForest,7.969,
2674,RandomForest,7.97,
5052,RandomForest,7.97,
5027,RandomForest,7.972,
3410,RandomForest,7.973,
3124,RandomForest,7.974,
133384,RandomForest,7.975,
3941,RandomForest,7.978,
3376,RandomForest,7.981,
134149,RandomForest,7.996,
133763,RandomForest,8.017,
3745,RandomForest,8.038,
3320,RandomForest,8.044,
63603,RandomForest,8.084,
133534,RandomForest,8.084,
132002,RandomForest,8.097,
133477,RandomForest,8.1,
133275,RandomForest,8.101,
125605,RandomForest,8.104,
163403,RandomForest,8.118,
2301,RandomForest,8.129,
8181,RandomForest,8.149,
3453,RandomForest,8.15,
6432,RandomForest,8.155,
6442,RandomForest,8.155,
133457,RandomForest,8.171,
155101,RandomForest,8.172,
5038,RandomForest,8.175,
133751,RandomForest,8.188,
136925,RandomForest,8.19,
136912,RandomForest,8.191,
